TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AccountTransactionCount,SpendRatio,Anomaly
424.56,Debit,Online,51,Engineer,264,1,5183.85,6,0.08190051779681025,0
85.43,Debit,Branch,67,Doctor,145,1,14904.9,3,0.005731672130821628,0
169.5,Debit,Branch,28,Student,142,1,918.88,5,0.18446369292547785,0
104.63,Debit,ATM,62,Retired,90,1,4477.78,3,0.023366489592238814,0
316.95,Debit,Branch,25,Student,83,1,1324.03,6,0.23938279163325007,0
60.54,Credit,Branch,57,Retired,52,1,3534.93,5,0.017126223101656263,0
292.56,Credit,Branch,68,Retired,61,1,4638.37,11,0.06307388142154706,0
386.52,Debit,Branch,48,Engineer,28,1,5630.61,5,0.0686462033977736,0
112.07,Debit,Branch,23,Student,51,1,930.3,9,0.12046651488265597,0
568.52,Debit,ATM,46,Engineer,152,1,5499.91,8,0.10336896403146786,0
263.99,Debit,Branch,79,Retired,227,2,4175.02,7,0.06323083467089778,0
349.64,Debit,Online,48,Engineer,226,1,6651.62,7,0.0525646383098183,0
601.4,Credit,Branch,56,Engineer,104,1,8458.29,5,0.07110184201404557,0
5.77,Debit,Online,50,Doctor,124,1,13988.12,7,0.0004124928865262144,0
201.33,Credit,Branch,42,Engineer,186,1,2585.07,9,0.07788183655420612,0
298.42,Debit,Branch,56,Retired,225,1,3014.75,5,0.09898664864752749,0
521.06,Debit,Branch,25,Student,128,1,1951.42,12,0.26701581275678316,0
117.28,Credit,Online,60,Engineer,16,1,3665.77,3,0.031993278268976834,0
189.12,Credit,Branch,32,Engineer,103,1,977.01,3,0.1935701764201986,0
133.55,Debit,ATM,44,Engineer,220,1,3846.28,6,0.03472186103268129,0
143.21,Debit,Online,35,Engineer,135,1,6374.82,7,0.022464947994665033,0
24.77,Debit,ATM,62,Retired,55,1,5866.01,6,0.0042226317305585365,0
233.92,Credit,Online,26,Student,280,1,6537.62,8,0.035780605119629764,0
1212.51,Debit,Branch,20,Student,24,1,605.95,9,2.0010066506971422,1
232.12,Debit,ATM,37,Engineer,51,1,6689.87,5,0.03469723621729984,0
162.63,Debit,Online,22,Student,113,1,634.17,5,0.2564454285689101,0
91.53,Debit,Branch,44,Doctor,69,1,14676.05,4,0.0062366917486403415,0
120.29,Debit,Branch,19,Student,77,1,1362.39,8,0.08829336615584843,0
174.25,Debit,Online,50,Doctor,67,1,10528.34,9,0.016550567310183215,0
183.71,Debit,ATM,38,Engineer,102,1,552.52,1,0.3324947453034326,0
345.39,Credit,Online,58,Engineer,80,1,6451.96,5,0.05353256986476579,0
922.55,Debit,ATM,63,Retired,87,1,4715.84,6,0.19562792589310085,0
259.91,Debit,Online,49,Doctor,170,1,7176.86,6,0.03621500205352341,0
154.71,Debit,Online,34,Doctor,157,1,1523.72,7,0.10153440197979681,0
1340.19,Credit,Online,54,Engineer,30,1,8654.28,5,0.15485863624142202,0
24.56,Debit,Branch,64,Doctor,69,1,9869.93,6,0.0024883661763676476,0
568.07,Debit,ATM,48,Doctor,115,1,10556.81,9,0.053810762859414205,0
9.61,Credit,Online,58,Doctor,179,1,12883.91,8,0.000745891580470609,0
392.96,Debit,Online,24,Student,100,1,791.65,4,0.49638097017140187,0
716.93,Credit,Online,60,Retired,34,1,4064.02,6,0.1764090723559208,0
223.85,Debit,ATM,53,Engineer,55,4,2929.91,7,0.0764016639541772,0
230.66,Debit,Branch,21,Student,135,1,618.05,6,0.3732060452519045,0
442.12,Debit,Online,19,Student,260,1,1375.8,9,0.3213548457526178,0
644.17,Debit,ATM,29,Engineer,72,1,1143.52,7,0.5633220183003181,0
508.68,Credit,Branch,51,Engineer,127,1,7708.41,7,0.06599026249772617,0
858.63,Credit,Branch,27,Student,185,1,1872.96,4,0.4584347745897682,0
25.36,Debit,ATM,57,Engineer,78,1,201.04,7,0.12614404466056284,0
147.62,Debit,Branch,71,Retired,133,1,2115.8,9,0.069770299320492,0
115.02,Debit,Branch,37,Doctor,175,1,7643.66,5,0.015047765056206365,0
383.37,Debit,Branch,30,Engineer,24,1,8901.93,9,0.04306594183164107,0
98.54,Credit,Online,20,Student,167,1,9383.43,3,0.010501490381980267,0
83.24,Credit,Branch,55,Doctor,164,1,1181.31,5,0.07046414514002129,0
196.16,Debit,Branch,27,Engineer,146,1,9418.86,8,0.02082629955129782,0
129.94,Debit,ATM,32,Engineer,235,1,7954.92,7,0.01633454514145391,0
306.9,Debit,Online,46,Engineer,51,1,9418.08,7,0.03258625958519543,0
114.98,Debit,Online,59,Retired,80,1,6144.68,8,0.01871212167482746,0
756.59,Debit,Branch,27,Student,17,1,420.65,7,1.7986211387466748,0
503.76,Debit,Online,22,Student,35,1,447.82,6,1.1249162358778921,0
143.03,Debit,ATM,63,Retired,147,1,7981.45,5,0.017920302679437568,0
1045.22,Debit,ATM,53,Retired,73,1,1829.9,4,0.5711896793748856,0
245.54,Debit,ATM,25,Student,180,1,985.06,5,0.24926400169264815,0
254.37,Credit,Online,51,Engineer,174,1,8849.26,8,0.028744776366899857,0
213.76,Credit,ATM,78,Retired,282,1,3528.72,2,0.06057720629413156,1
327.86,Debit,Online,40,Engineer,104,1,480.16,4,0.6828140477587877,0
2.5,Debit,Online,47,Doctor,107,1,12145.27,4,0.00020584145086454113,0
300.08,Credit,Online,68,Doctor,47,1,13546.75,6,0.022151438520566603,0
56.98,Credit,ATM,43,Engineer,122,2,5688.37,8,0.010016929260900875,0
407.65,Debit,Online,26,Engineer,62,1,8346.64,6,0.04884001220989523,0
115.83,Debit,Branch,39,Engineer,167,1,6481.04,8,0.01787213160561865,0
53.57,Debit,ATM,69,Retired,121,1,1651.33,6,0.0324405174469033,0
63.34,Credit,Online,46,Doctor,165,1,11174.94,8,0.00566803937589997,0
317.87,Debit,Online,27,Student,91,1,145.5,6,2.1846733893695265,0
331.65,Debit,Online,41,Engineer,61,1,4172.57,4,0.07948338774548208,0
5.04,Debit,ATM,56,Retired,41,1,5558.36,3,0.0009067422748675109,0
214.54,Credit,Online,70,Doctor,247,1,11151.53,8,0.01923861567046081,0
598.81,Debit,Branch,57,Doctor,158,1,1415.52,4,0.4230318157070771,0
841.28,Debit,Online,26,Student,80,1,1103.64,8,0.7622775473680045,0
38.15,Debit,Online,26,Student,108,1,303.68,7,0.12562565445121002,0
1036.66,Debit,Branch,58,Doctor,144,1,5541.57,5,0.18706972899905674,0
124.72,Debit,Branch,33,Engineer,105,1,6309.8,6,0.01976607813279965,0
302.45,Credit,Branch,78,Retired,40,1,5133.61,7,0.0589156557297581,0
208.04,Debit,Online,47,Engineer,273,1,9344.98,6,0.022262219906022035,0
5.77,Credit,Branch,23,Student,254,1,1117.97,8,0.005161140234879825,0
381.33,Debit,ATM,56,Doctor,75,1,11835.35,6,0.032219579452893596,0
16.16,Debit,ATM,50,Doctor,124,1,14401.17,9,0.0011221310482952907,0
486.08,Debit,Online,18,Student,68,1,1748.69,8,0.2779680773723869,0
336.39,Debit,Branch,21,Student,18,1,1000.46,8,0.33623532838658887,0
997.43,Debit,Online,69,Doctor,118,1,6810.05,6,0.14646441634574722,0
234.57,Debit,Online,23,Student,120,1,263.98,7,0.8885900110390934,0
6.0,Debit,Online,30,Doctor,246,1,5442.76,8,0.0011023818777561717,0
1049.92,Debit,ATM,80,Retired,21,1,2037.85,7,0.5152096547085917,0
227.14,Debit,ATM,18,Student,294,1,341.94,2,0.6642685657054289,0
233.74,Credit,Online,66,Retired,17,1,1066.59,6,0.2191469991360598,0
113.02,Credit,Branch,69,Retired,166,1,6077.96,7,0.01859505488914857,0
45.85,Debit,ATM,20,Student,92,1,1659.15,7,0.027634632024623258,0
973.39,Debit,Branch,77,Retired,296,1,2042.22,7,0.47663326930187117,0
514.95,Debit,Online,41,Doctor,142,5,421.93,4,1.2204630810688248,1
415.5,Debit,ATM,66,Doctor,141,1,10113.66,3,0.041083050012475156,0
265.76,Debit,Online,54,Retired,92,1,4446.17,9,0.05977279307859845,0
69.4,Debit,Online,80,Retired,113,1,6452.77,4,0.01075507106133479,0
332.93,Credit,Branch,35,Engineer,293,1,2788.2,9,0.11940678531164628,0
267.9,Debit,Online,20,Student,160,1,596.16,6,0.44937599890338165,0
496.03,Debit,Branch,61,Doctor,265,1,12904.66,9,0.03843805258066617,0
376.26,Debit,ATM,37,Engineer,245,1,9062.4,9,0.04151880292028734,0
83.02,Credit,Online,36,Engineer,171,1,9009.56,4,0.009214656421385,0
93.26,Credit,Online,20,Student,72,1,1152.2,3,0.08094080818485673,0
803.37,Credit,Branch,68,Doctor,129,1,12168.37,7,0.06602116794112838,0
35.76,Debit,Branch,23,Student,122,1,611.86,9,0.05844474130610366,0
28.53,Debit,Online,62,Doctor,99,1,8670.53,5,0.003290456288957588,0
139.53,Credit,Online,53,Doctor,177,1,10098.86,6,0.01381641094755605,0
307.57,Debit,Branch,33,Doctor,285,1,5307.74,5,0.057947450218082557,0
60.65,Credit,Branch,56,Retired,53,1,1047.28,11,0.05791192366977386,0
74.86,Debit,Branch,70,Doctor,125,1,6921.48,3,0.010815605895248407,0
117.97,Debit,Branch,51,Retired,137,1,1475.46,4,0.07995472544186406,0
231.91,Debit,ATM,34,Engineer,165,1,112.76,8,2.056668849178002,0
126.21,Debit,Branch,75,Retired,268,1,5669.66,7,0.02226059407043704,0
506.28,Credit,Online,53,Retired,162,2,1309.95,8,0.3864880309440205,0
304.35,Debit,Branch,31,Engineer,36,1,4057.1,12,0.07501663731478979,0
281.85,Debit,ATM,22,Student,109,1,1585.98,7,0.17771346310979041,0
777.88,Debit,Branch,31,Engineer,17,1,6825.55,3,0.1139659073423154,0
119.18,Debit,Branch,56,Retired,96,1,5516.5,4,0.021604278035703296,0
177.19,Debit,Online,76,Retired,43,1,5343.3,7,0.03316115502936171,0
260.88,Debit,Branch,22,Student,36,1,903.05,7,0.28888765529164884,0
169.47,Debit,Online,24,Student,19,1,1806.16,6,0.09382889614525348,0
73.23,Debit,Branch,26,Student,14,1,787.74,9,0.09296214369002281,0
1362.55,Debit,ATM,29,Engineer,106,1,2429.68,12,0.5607940117184402,1
792.57,Debit,ATM,19,Student,164,1,770.37,4,1.0288173081919427,0
237.06,Debit,Online,71,Retired,46,1,1182.77,5,0.20042780760056642,0
34.17,Credit,Online,54,Engineer,54,1,726.55,7,0.04703048589869265,0
740.25,Debit,Online,41,Doctor,123,1,14464.3,5,0.051177727196492245,0
453.54,Debit,ATM,58,Doctor,82,1,12046.3,6,0.03764973474207871,0
300.47,Debit,Branch,73,Retired,100,1,7885.64,11,0.03810343860726151,0
110.93,Credit,Branch,19,Student,201,1,1952.35,6,0.0568187053713796,0
201.69,Debit,ATM,59,Doctor,299,1,7328.52,1,0.02752124572557454,0
399.21,Debit,ATM,59,Engineer,109,1,3210.39,2,0.12434937772560536,0
1041.88,Debit,Online,78,Retired,57,1,5726.2,4,0.18194963469325273,0
630.36,Debit,ATM,62,Retired,52,1,1363.65,7,0.46225937401635775,0
10.94,Credit,ATM,60,Engineer,245,1,1241.99,4,0.008808444441513665,0
215.9,Debit,ATM,38,Doctor,235,1,7873.28,4,0.027421862263984183,0
1422.55,Debit,Branch,79,Retired,165,1,5674.32,8,0.2506996428634627,0
226.37,Credit,Branch,49,Doctor,141,1,9840.04,4,0.023004987761223544,0
444.89,Credit,Branch,43,Doctor,101,1,10328.23,9,0.043075144489350896,0
280.57,Credit,Online,25,Student,24,1,293.24,4,0.9567930378941127,0
488.54,Debit,Branch,52,Engineer,132,1,7486.63,9,0.06525499448315865,0
3.3,Credit,Branch,50,Doctor,131,1,11385.37,12,0.0002898456525437068,0
199.39,Debit,Branch,69,Retired,165,1,7264.79,6,0.027446078926650214,0
20.36,Debit,Branch,62,Retired,75,1,2762.48,5,0.007370189078761876,0
113.64,Debit,Online,62,Retired,32,1,6675.03,5,0.01702464256037105,0
493.11,Debit,Branch,53,Retired,236,1,7432.99,8,0.06634073224053749,0
307.41,Debit,ATM,19,Student,14,1,1057.0,4,0.29083254218701476,0
11.18,Debit,Online,43,Doctor,161,1,5956.89,7,0.0018768182694714553,0
313.82,Debit,Branch,59,Engineer,151,1,7261.59,7,0.043216430501837155,0
51.0,Debit,Branch,64,Retired,107,1,4943.16,6,0.010317286896808345,0
140.98,Debit,Branch,60,Engineer,100,1,8127.48,7,0.01734609003363147,0
288.04,Debit,ATM,68,Retired,63,1,1748.02,9,0.16478072239001432,0
800.55,Debit,ATM,31,Engineer,108,1,9660.22,5,0.08287078339533595,0
485.54,Debit,ATM,46,Engineer,143,1,6371.51,7,0.07620485555825095,0
521.15,Debit,ATM,54,Doctor,214,1,9442.47,9,0.05519212657790586,0
321.79,Credit,ATM,63,Retired,61,1,5959.2,9,0.0539988588166216,0
304.93,Debit,ATM,65,Doctor,158,1,13531.22,5,0.02253529244034515,0
432.08,Debit,ATM,40,Doctor,145,1,11500.62,4,0.0375701483593318,0
694.2,Debit,ATM,61,Retired,72,1,1389.37,6,0.4996509173247522,0
116.86,Debit,ATM,55,Engineer,171,1,6706.56,6,0.017424730387225744,0
386.81,Credit,Online,57,Doctor,149,1,7175.29,9,0.05390862243350635,0
74.88,Debit,ATM,25,Student,202,1,420.67,4,0.17800175486719388,0
195.76,Debit,Branch,75,Retired,99,1,7323.53,3,0.02673027894098846,0
134.7,Debit,ATM,50,Doctor,106,1,8395.85,6,0.016043640589048586,0
890.24,Credit,Online,33,Engineer,161,1,5140.93,8,0.17316711145032687,0
361.27,Debit,ATM,63,Doctor,180,1,7945.57,5,0.045468103552711636,0
131.56,Debit,Branch,44,Doctor,42,1,5873.54,3,0.02239875778082935,0
485.51,Credit,Online,76,Retired,37,1,3074.45,3,0.15791767581870683,0
547.87,Debit,ATM,64,Retired,131,1,6155.76,9,0.08900119548357767,0
457.3,Debit,Online,28,Engineer,15,1,8318.29,4,0.054975241239515284,0
506.24,Debit,ATM,58,Engineer,64,1,230.09,2,2.200182441645337,1
486.59,Debit,Branch,57,Retired,119,1,2513.56,4,0.19358598882228395,0
163.68,Debit,Branch,41,Doctor,292,1,10090.05,3,0.016221921579950626,0
581.65,Debit,ATM,22,Student,176,1,480.19,3,1.2112913386098974,0
52.01,Debit,ATM,48,Doctor,85,1,1120.88,5,0.046401041624428645,0
630.24,Debit,ATM,21,Student,62,1,370.81,9,1.699630492715124,0
523.74,Debit,ATM,43,Doctor,159,1,13498.55,6,0.03879972290446032,0
705.6,Debit,Branch,40,Doctor,124,3,14804.7,7,0.047660540201651815,0
217.5,Credit,Branch,46,Engineer,35,1,3057.4,4,0.07113887593661648,0
91.48,Debit,ATM,51,Doctor,141,1,14942.78,9,0.006122020128702946,0
5.25,Debit,ATM,39,Doctor,49,1,14143.32,7,0.00037119997258691737,0
54.03,Credit,ATM,56,Retired,161,1,6736.3,7,0.00802072353069085,0
736.73,Debit,Branch,48,Engineer,10,1,3313.07,9,0.222370791373648,0
368.91,Debit,Branch,54,Doctor,14,1,829.71,11,0.4446252251434209,0
33.06,Credit,Online,53,Retired,170,1,1540.87,7,0.021455411413971257,0
66.5,Credit,Online,32,Engineer,144,1,6820.23,6,0.009750404297581748,0
177.08,Debit,Online,35,Doctor,85,1,13475.14,7,0.013141236370723248,0
588.54,Debit,Branch,32,Engineer,130,1,714.45,5,0.8237665221671702,0
173.5,Debit,ATM,21,Student,282,1,1306.91,12,0.132755888831244,0
78.33,Credit,Online,56,Engineer,189,1,7255.33,5,0.01079620084710661,0
40.66,Debit,Branch,59,Retired,156,1,1153.84,9,0.03523885430181954,0
97.22,Credit,Branch,77,Retired,55,1,6647.73,4,0.014624540986736014,0
34.07,Debit,Branch,22,Student,81,1,8709.77,3,0.003911699156336276,0
492.06,Debit,Online,23,Student,74,1,857.9,8,0.5735633456864047,0
842.01,Credit,Online,53,Doctor,185,1,509.45,6,1.6527823799630508,1
73.55,Debit,ATM,51,Engineer,158,1,2812.06,7,0.026155202854294703,0
760.53,Debit,Online,57,Engineer,118,1,6179.91,11,0.12306489880424651,0
273.08,Credit,Branch,26,Engineer,134,1,6609.3,4,0.04131753734689371,0
371.69,Debit,Branch,67,Retired,143,1,3484.32,7,0.10667504676185009,0
218.96,Debit,ATM,18,Student,13,1,754.21,9,0.2903170166092068,0
227.39,Debit,Online,18,Student,65,1,751.09,7,0.3027466708018124,0
237.99,Credit,Branch,39,Doctor,86,1,8510.09,7,0.027965626652637486,0
186.6,Debit,Online,58,Doctor,13,1,1508.72,5,0.12368100029375231,0
341.15,Debit,Online,18,Student,148,1,511.37,7,0.6671294626761549,0
434.58,Debit,ATM,59,Doctor,215,1,12648.32,12,0.03435871322487199,0
312.88,Credit,Branch,54,Engineer,44,1,233.21,3,1.3416233719984831,0
75.15,Debit,ATM,23,Student,154,1,1092.92,6,0.0687607503864807,0
23.3,Debit,ATM,59,Engineer,161,1,6711.15,7,0.0034718341812180714,0
47.38,Credit,Online,25,Student,61,1,459.37,5,0.10314125643509033,0
512.81,Debit,Branch,79,Retired,30,1,6994.34,5,0.07331785404581725,0
488.15,Debit,Branch,43,Engineer,168,1,7071.09,8,0.06903461832753562,0
12.82,Debit,ATM,44,Engineer,156,1,9045.19,7,0.001417327882092772,0
66.9,Credit,Online,79,Retired,129,4,5238.71,5,0.01277031938631778,1
535.91,Debit,Online,43,Engineer,22,1,9642.12,5,0.05558010058412454,0
270.72,Credit,Online,26,Engineer,53,1,6263.96,3,0.043218666716871336,0
97.98,Debit,Branch,72,Retired,18,1,7460.33,5,0.013133467268695263,0
196.08,Debit,Online,61,Retired,98,1,4233.82,6,0.04631278597977056,0
251.18,Debit,ATM,42,Engineer,246,1,8303.9,5,0.03024843744475676,0
44.52,Debit,Online,28,Student,205,1,314.28,6,0.14165711653121052,0
178.87,Debit,Online,35,Doctor,180,1,5241.23,7,0.03412748527706763,0
1176.28,Credit,ATM,54,Engineer,174,5,323.69,4,3.6339706622394683,1
386.68,Debit,Branch,46,Doctor,128,1,6863.06,5,0.05634221461513929,0
167.14,Debit,Online,76,Retired,20,1,3877.73,8,0.04310253668227922,0
345.22,Debit,Branch,69,Retired,253,1,4046.58,6,0.08531154682395617,0
74.85,Debit,ATM,72,Retired,117,1,2409.73,5,0.031061571084471818,0
671.73,Debit,Branch,58,Engineer,54,1,5211.88,5,0.1288843946351712,0
255.04,Debit,ATM,45,Engineer,152,1,6217.86,7,0.04101732743899456,0
45.77,Debit,Online,25,Student,109,1,5978.12,12,0.007656253123630418,0
329.69,Credit,Online,26,Student,66,1,1671.66,6,0.19722311835407247,0
362.04,Credit,Branch,58,Doctor,198,2,8421.88,3,0.042988026375360346,0
11.92,Debit,Branch,53,Doctor,52,1,14611.9,5,0.0008157734443735768,0
47.42,Debit,ATM,64,Doctor,28,1,8253.52,6,0.005745427398557916,0
35.99,Debit,Branch,63,Retired,129,1,4489.79,9,0.008015965094100248,0
151.19,Credit,Branch,37,Doctor,96,1,11903.82,5,0.01270096488967326,0
242.62,Credit,Online,22,Student,234,1,483.02,9,0.5022980310898507,0
48.72,Debit,Branch,21,Student,17,1,816.08,9,0.059700028677335204,0
43.46,Debit,ATM,25,Student,80,1,578.06,9,0.07518250570559276,0
1036.21,Debit,Online,25,Student,126,1,477.3,8,2.1709825650328396,1
443.79,Debit,ATM,53,Retired,87,1,3133.85,5,0.14161175505652232,0
365.14,Debit,Online,68,Retired,57,1,5894.09,8,0.061950190679222424,0
757.41,Debit,ATM,22,Student,37,1,9532.42,5,0.0794562135538969,0
20.54,Debit,Branch,51,Engineer,72,1,5327.03,8,0.00385580707475684,0
475.36,Debit,ATM,34,Engineer,105,1,2000.6,3,0.2376087161970973,0
34.74,Debit,ATM,56,Retired,24,1,6827.57,8,0.005088193888765412,0
689.54,Debit,Branch,27,Student,93,1,1633.76,8,0.4220570927060456,0
211.18,Debit,ATM,73,Retired,90,1,4069.17,9,0.05189756129162074,0
211.36,Credit,Branch,51,Engineer,286,1,7943.47,6,0.02660801888015185,0
744.41,Credit,Online,39,Engineer,107,1,8842.47,4,0.08418575343293701,0
61.43,Debit,Online,24,Student,170,1,1882.77,4,0.03262745830543583,0
167.44,Debit,Branch,37,Doctor,82,1,12526.71,3,0.013366638156893042,0
361.46,Debit,Online,21,Student,83,1,4737.84,6,0.07629214984825965,0
378.85,Debit,Branch,78,Retired,126,1,2300.53,7,0.16467944271676768,0
241.11,Debit,Branch,30,Doctor,55,1,12385.05,6,0.01946782611336424,0
131.93,Credit,Branch,31,Engineer,13,1,4547.06,3,0.029014352067018356,0
20.28,Debit,Online,36,Engineer,213,1,2047.83,7,0.009903165741769748,0
415.88,Debit,Branch,70,Doctor,170,1,10008.33,5,0.041553385987918676,0
49.99,Debit,ATM,62,Retired,139,1,2299.64,8,0.02173818501270553,0
1221.65,Debit,Online,27,Student,153,1,243.92,7,5.008404189553781,1
100.66,Debit,Branch,50,Doctor,144,1,14473.33,10,0.006954861108704865,0
485.54,Debit,Online,19,Student,148,1,1533.32,5,0.316659273232859,0
321.15,Debit,Branch,46,Doctor,179,1,7005.05,2,0.04584549711159021,0
711.3,Debit,Branch,21,Student,51,1,955.4,6,0.7445049116128856,0
12.23,Debit,ATM,42,Engineer,139,1,7844.88,7,0.0015589785929689447,0
350.94,Debit,ATM,20,Student,64,1,221.56,7,1.583950100020306,0
301.85,Debit,Online,54,Engineer,25,1,6586.19,6,0.045830745778924174,0
29.34,Debit,Online,65,Retired,30,1,3944.82,4,0.007437601696813538,0
231.71,Debit,Branch,27,Student,148,1,1127.98,6,0.20542030704959036,0
179.43,Debit,ATM,58,Retired,244,1,2626.63,5,0.06831186703756574,0
36.71,Debit,Branch,48,Doctor,55,1,6459.38,5,0.005683207977107388,0
138.12,Credit,Branch,53,Doctor,281,1,1649.69,7,0.08372482051946233,0
233.24,Debit,ATM,33,Engineer,72,1,6939.23,6,0.03361179837876566,0
609.14,Debit,ATM,39,Engineer,177,1,9033.87,2,0.06742846635226268,0
436.64,Debit,Branch,31,Doctor,111,1,14365.18,6,0.03039572074252065,0
870.43,Debit,Branch,29,Doctor,55,1,10115.18,7,0.08605185465206565,0
354.4,Debit,ATM,74,Retired,128,1,7358.65,6,0.04816100772810093,0
22.63,Debit,Online,53,Engineer,112,1,4438.03,6,0.005099109277992467,0
182.19,Debit,Branch,26,Student,53,1,1176.1,9,0.1549102954263218,0
126.81,Debit,Branch,26,Engineer,290,1,5427.98,7,0.023362282058220038,0
288.17,Debit,Online,37,Engineer,50,1,3653.11,6,0.07888347167513853,0
118.77,Debit,Branch,55,Engineer,123,1,2104.82,5,0.05642762774760963,0
651.82,Debit,ATM,21,Student,166,1,1802.77,6,0.3615658106049812,0
66.65,Debit,ATM,37,Engineer,33,1,3559.96,5,0.01872212042067293,0
98.53,Debit,Branch,69,Retired,166,1,3564.8,8,0.02763969920433208,0
138.95,Debit,Online,71,Retired,30,1,6752.92,9,0.02057628400665744,0
33.89,Debit,Branch,26,Student,177,1,1444.75,5,0.023457345399153173,0
23.71,Debit,Branch,58,Doctor,164,1,10788.89,4,0.0021976310795664513,0
1830.0,Debit,Online,55,Engineer,238,1,2235.7,5,0.8185355780358028,1
26.06,Debit,ATM,65,Doctor,283,1,12893.63,5,0.0020211530794499665,0
17.07,Debit,Branch,27,Engineer,44,1,2798.15,5,0.0061004592101908065,0
703.89,Debit,Online,46,Engineer,62,1,3583.67,5,0.1964159640915152,0
1271.9,Debit,ATM,47,Engineer,155,1,2120.8,5,0.5997265154671514,0
26.55,Debit,ATM,77,Retired,228,1,3085.38,9,0.008605098857822702,0
147.4,Debit,Branch,42,Engineer,259,1,6797.71,3,0.021683772885745682,0
