TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,BestModelAnomaly,Final_Anomaly
TX000509,AC00353,127.0,2023-09-15 17:09:41,Credit,Nashville,D000024,154.138.163.229,M015,Branch,19,Student,68,5,431.16,2024-11-04 08:10:12,1,1
TX000615,AC00466,1342.25,2023-04-28 18:11:55,Credit,Fort Worth,D000643,28.149.72.129,M032,Branch,21,Student,235,1,694.03,2024-11-04 08:08:00,1,1
TX000654,AC00423,1919.11,2023-06-27 17:48:25,Debit,Portland,D000191,207.157.126.125,M033,ATM,30,Doctor,161,1,11090.24,2024-11-04 08:10:27,1,1
TX000686,AC00071,119.3,2023-08-28 16:08:54,Debit,Mesa,D000597,90.111.245.138,M058,Branch,34,Engineer,22,5,319.04,2024-11-04 08:08:55,1,1
TX000692,AC00418,25.94,2023-10-16 18:53:31,Credit,San Jose,D000232,42.219.228.159,M003,Online,58,Retired,211,5,4815.11,2024-11-04 08:06:38,1,1
TX000694,AC00011,733.29,2023-03-15 18:42:16,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,2024-11-04 08:07:12,1,1
TX000756,AC00460,1607.55,2023-09-07 16:27:03,Debit,Phoenix,D000070,94.37.250.128,M031,ATM,31,Engineer,156,1,6227.99,2024-11-04 08:07:33,1,1
TX000899,AC00083,1531.31,2023-10-23 18:00:29,Debit,San Diego,D000319,91.204.200.167,M078,Online,18,Student,62,4,859.86,2024-11-04 08:06:40,1,1
TX000954,AC00187,119.95,2023-04-10 17:53:04,Credit,Philadelphia,D000292,214.32.109.197,M092,Branch,62,Retired,47,5,2596.61,2024-11-04 08:10:27,1,1
TX001043,AC00246,180.65,2023-12-04 17:54:09,Debit,Charlotte,D000552,10.223.224.50,M012,Branch,22,Student,38,5,816.01,2024-11-04 08:09:50,1,1
TX001122,AC00426,303.97,2023-02-02 16:55:25,Debit,Fort Worth,D000215,7.146.35.122,M056,Online,24,Student,77,5,1590.88,2024-11-04 08:07:47,1,1
TX001214,AC00170,1192.2,2023-12-21 16:21:27,Credit,Jacksonville,D000174,40.10.25.102,M093,Branch,60,Retired,103,5,7816.41,2024-11-04 08:09:14,1,1
TX001248,AC00071,1647.74,2023-12-25 17:41:30,Debit,Louisville,D000593,113.137.153.101,M049,ATM,67,Retired,52,1,1483.84,2024-11-04 08:09:29,1,1
TX001282,AC00128,1397.59,2023-11-13 17:28:12,Credit,Austin,D000117,4.134.78.167,M020,ATM,26,Student,144,1,1134.79,2024-11-04 08:06:38,1,1
TX001354,AC00312,1510.71,2023-06-15 16:48:29,Debit,Oklahoma City,D000106,193.209.134.233,M060,Online,66,Retired,51,1,2060.02,2024-11-04 08:09:11,1,1
TX001439,AC00179,1831.02,2023-09-15 17:31:42,Credit,Columbus,D000246,141.121.30.32,M012,Online,62,Doctor,83,1,11498.01,2024-11-04 08:10:52,1,1
TX001558,AC00245,262.43,2023-06-13 17:26:54,Credit,San Diego,D000365,172.184.35.29,M046,Online,37,Doctor,274,5,12841.01,2024-11-04 08:07:46,1,1
TX001585,AC00358,434.17,2023-01-05 16:40:09,Debit,Atlanta,D000238,161.161.26.115,M010,ATM,21,Student,148,5,5335.44,2024-11-04 08:09:50,1,1
TX001610,AC00273,1431.33,2023-01-17 17:50:51,Debit,Charlotte,D000434,13.88.251.53,M075,ATM,30,Doctor,49,1,5567.98,2024-11-04 08:09:18,1,1
TX001626,AC00220,1360.01,2023-09-25 16:51:23,Credit,Phoenix,D000582,5.252.94.135,M096,Branch,67,Retired,218,1,6601.5,2024-11-04 08:11:58,1,1
TX001635,AC00358,1762.28,2023-10-06 16:05:34,Debit,Memphis,D000008,26.105.49.129,M066,ATM,24,Student,150,1,1380.34,2024-11-04 08:10:42,1,1
TX001704,AC00205,1294.81,2023-12-11 16:53:08,Credit,Washington,D000489,76.0.164.168,M026,Branch,45,Engineer,279,1,9927.75,2024-11-04 08:11:44,1,1
TX001732,AC00333,1.93,2023-10-19 18:06:08,Debit,Chicago,D000297,162.58.247.55,M030,Branch,47,Doctor,175,5,5684.09,2024-11-04 08:08:33,1,1
TX001789,AC00338,1612.37,2023-07-24 17:46:13,Debit,Los Angeles,D000025,16.128.130.153,M078,ATM,65,Retired,173,1,3910.59,2024-11-04 08:08:21,1,1
TX001885,AC00071,451.31,2023-12-04 16:57:39,Debit,Fort Worth,D000020,68.254.244.208,M046,ATM,62,Retired,166,5,2963.29,2024-11-04 08:07:38,1,1
TX001918,AC00382,1427.71,2023-01-24 17:26:34,Debit,New York,D000015,59.208.79.116,M086,Branch,64,Doctor,159,1,1729.26,2024-11-04 08:09:30,1,1
TX001953,AC00350,1496.57,2023-02-27 16:18:28,Debit,Memphis,D000139,182.84.41.229,M092,Online,33,Engineer,95,1,969.06,2024-11-04 08:06:37,1,1
TX001970,AC00189,146.55,2023-08-03 18:35:54,Debit,Virginia Beach,D000163,82.75.200.117,M002,Online,54,Retired,124,5,4087.44,2024-11-04 08:07:38,1,1
TX001985,AC00303,1512.99,2023-08-08 17:15:50,Debit,Philadelphia,D000032,195.164.171.146,M071,Online,19,Student,50,1,9963.39,2024-11-04 08:09:45,1,1
TX002074,AC00228,441.26,2023-02-27 16:07:46,Credit,Tucson,D000490,92.180.81.50,M074,Branch,58,Doctor,87,5,13704.92,2024-11-04 08:11:41,1,1
TX002125,AC00039,737.46,2023-01-03 16:28:03,Credit,Albuquerque,D000443,202.194.199.70,M037,Branch,53,Doctor,75,4,634.16,2024-11-04 08:07:37,1,1
TX002160,AC00216,624.0,2023-02-16 17:34:34,Debit,Houston,D000207,113.137.153.101,M097,Branch,26,Engineer,132,5,4976.18,2024-11-04 08:11:42,1,1
TX002162,AC00139,10.15,2023-02-23 16:51:34,Debit,Austin,D000531,55.139.104.163,M004,ATM,59,Doctor,58,5,7155.04,2024-11-04 08:11:00,1,1
TX002202,AC00385,1431.54,2023-12-11 16:23:59,Debit,Portland,D000490,68.254.244.208,M075,Online,20,Student,84,1,1171.98,2024-11-04 08:08:41,1,1
TX002216,AC00290,1413.24,2023-11-06 18:59:24,Debit,New York,D000356,166.41.54.117,M016,ATM,58,Engineer,199,1,7272.01,2024-11-04 08:11:26,1,1
TX002273,AC00268,1454.52,2023-09-22 16:13:06,Debit,Miami,D000598,34.169.232.37,M088,ATM,27,Student,20,1,1189.03,2024-11-04 08:07:18,1,1
TX002311,AC00243,176.52,2023-03-14 17:06:18,Credit,San Diego,D000333,223.32.70.156,M022,Online,73,Retired,94,5,7132.08,2024-11-04 08:08:41,1,1
TX002404,AC00111,1493.0,2023-06-07 17:05:41,Debit,Colorado Springs,D000344,136.162.111.135,M096,ATM,69,Retired,151,1,1619.16,2024-11-04 08:07:07,1,1
TX002415,AC00028,1664.33,2023-09-25 17:11:19,Debit,San Antonio,D000072,116.106.207.139,M064,Branch,18,Student,65,1,1588.31,2024-11-04 08:07:07,1,1
